e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
0.118,0.614,-0.07,-0.727,0.155,0.08,0.664,-0.153,0.623,-0.011,-0.634,0.26,0.319,0.655,0.11,2.141,-0.09,0.055,0.986,-0.043,0.154
0.118,0.613,-0.069,-0.727,0.176,0.093,0.657,-0.142,0.624,-0.028,-0.682,0.183,0.205,0.678,0.112,2.138,-0.071,0.058,0.974,-0.038,0.214
0.118,0.614,-0.069,-0.727,0.167,0.088,0.66,-0.105,0.622,-0.039,-0.73,-0.069,-0.051,0.678,0.113,2.141,-0.057,0.058,0.958,-0.028,0.279
0.118,0.616,-0.068,-0.728,0.167,0.084,0.66,-0.101,0.621,-0.033,-0.73,-0.055,-0.036,0.68,0.111,2.144,-0.042,0.055,0.931,-0.024,0.36
0.119,0.617,-0.069,-0.727,0.167,0.082,0.661,-0.103,0.619,-0.031,-0.73,-0.067,-0.029,0.68,0.11,2.147,-0.03,0.046,0.9,-0.017,0.434
0.15,0.621,-0.071,-0.736,0.08,0.006,0.672,-0.104,0.616,-0.031,-0.732,-0.07,-0.026,0.677,0.112,2.148,-0.019,0.041,0.862,-0.016,0.505
0.239,0.631,-0.004,-0.682,-0.231,-0.262,0.643,-0.097,0.611,-0.03,-0.732,-0.067,-0.025,0.678,0.12,2.145,-0.006,0.032,0.821,-0.009,0.57
0.249,0.642,0.124,-0.553,-0.486,-0.444,0.511,-0.097,0.612,-0.03,-0.731,-0.064,-0.025,0.679,0.135,2.143,0.015,0.027,0.766,-0.004,0.643
0.211,0.645,0.205,-0.46,-0.581,-0.549,0.387,-0.096,0.612,-0.029,-0.728,-0.06,-0.024,0.683,0.15,2.138,0.045,0.04,0.701,0.001,0.712
0.191,0.634,0.217,-0.39,-0.582,-0.58,0.415,-0.095,0.612,-0.029,-0.725,-0.058,-0.026,0.686,0.16,2.131,0.078,0.051,0.626,0.001,0.778
0.192,0.63,0.214,-0.39,-0.568,-0.584,0.43,-0.092,0.613,-0.029,-0.723,-0.052,-0.044,0.688,0.161,2.127,0.105,0.062,0.562,-0.002,0.825
0.191,0.629,0.213,-0.383,-0.57,-0.579,0.44,-0.08,0.612,-0.033,-0.719,-0.137,-0.124,0.67,0.152,2.119,0.128,0.071,0.478,-0.007,0.875
0.189,0.632,0.215,-0.374,-0.565,-0.581,0.451,-0.068,0.611,-0.033,-0.704,-0.22,-0.207,0.642,0.137,2.117,0.139,0.07,0.413,-0.023,0.908
0.152,0.637,0.25,-0.308,-0.624,-0.631,0.344,-0.059,0.61,-0.032,-0.694,-0.262,-0.254,0.621,0.12,2.119,0.147,0.064,0.372,-0.021,0.926
0.126,0.634,0.269,-0.241,-0.638,-0.657,0.321,-0.053,0.61,-0.031,-0.683,-0.299,-0.296,0.597,0.106,2.119,0.154,0.061,0.34,-0.015,0.938
0.126,0.63,0.268,-0.232,-0.642,-0.649,0.337,-0.042,0.612,-0.032,-0.665,-0.332,-0.393,0.542,0.094,2.117,0.161,0.061,0.306,-0.021,0.95
0.126,0.629,0.268,-0.233,-0.641,-0.647,0.34,0.013,0.615,-0.026,-0.596,-0.317,-0.604,0.423,0.084,2.114,0.167,0.063,0.271,-0.018,0.96
0.126,0.629,0.268,-0.234,-0.638,-0.65,0.341,0.124,0.621,-0.016,-0.455,-0.462,-0.615,0.449,0.076,2.118,0.169,0.071,0.228,-0.018,0.971
0.126,0.63,0.269,-0.233,-0.634,-0.652,0.344,0.199,0.629,0.055,-0.314,-0.604,-0.636,0.364,0.072,2.123,0.165,0.072,0.186,-0.012,0.98
0.126,0.631,0.269,-0.229,-0.631,-0.656,0.346,0.195,0.621,0.093,-0.31,-0.628,-0.652,0.29,0.071,2.124,0.156,0.07,0.135,-0.019,0.988
0.086,0.631,0.287,-0.164,-0.641,-0.701,0.266,0.195,0.618,0.091,-0.315,-0.651,-0.641,0.256,0.075,2.126,0.149,0.07,0.113,-0.029,0.991
0.006,0.636,0.291,-0.01,-0.691,-0.711,0.132,0.195,0.617,0.088,-0.312,-0.657,-0.637,0.253,0.075,2.125,0.147,0.066,0.111,-0.036,0.991
-0.057,0.632,0.28,-0.014,-0.702,-0.709,0.067,0.194,0.617,0.087,-0.312,-0.655,-0.64,0.254,0.067,2.126,0.155,0.057,0.098,-0.039,0.993
-0.083,0.631,0.274,-0.047,-0.702,-0.7,0.124,0.194,0.618,0.088,-0.31,-0.654,-0.641,0.255,0.053,2.128,0.166,0.059,0.082,-0.045,0.994
-0.119,0.63,0.258,-0.027,-0.699,-0.71,0.078,0.194,0.618,0.088,-0.308,-0.655,-0.641,0.256,0.035,2.128,0.181,0.051,0.065,-0.043,0.996
-0.126,0.624,0.223,0.033,-0.691,-0.721,0.037,0.193,0.618,0.089,-0.311,-0.653,-0.64,0.26,0.013,2.125,0.192,0.062,0.057,-0.036,0.996
-0.103,0.618,0.186,-0.041,-0.692,-0.713,0.104,0.193,0.619,0.089,-0.313,-0.652,-0.639,0.26,-0.011,2.128,0.2,0.062,0.055,-0.03,0.996
-0.1,0.617,0.187,-0.043,-0.695,-0.711,0.103,0.192,0.621,0.09,-0.311,-0.649,-0.639,0.272,-0.027,2.132,0.202,0.071,0.061,-0.016,0.996
-0.101,0.617,0.188,-0.042,-0.694,-0.711,0.1,0.18,0.627,0.112,-0.209,-0.57,-0.714,0.35,-0.03,2.129,0.198,0.065,0.059,-0.013,0.996
-0.101,0.617,0.188,-0.041,-0.691,-0.714,0.103,0.139,0.636,0.212,-0.148,-0.677,-0.703,0.158,-0.02,2.132,0.197,0.072,0.049,0.002,0.996
-0.101,0.617,0.188,-0.041,-0.691,-0.715,0.102,0.13,0.644,0.303,-0.133,-0.723,-0.671,0.097,-0.001,2.134,0.199,0.063,0.029,0.007,0.998
-0.101,0.617,0.188,-0.04,-0.692,-0.714,0.103,0.118,0.639,0.343,-0.129,-0.743,-0.656,0.027,0.024,2.133,0.204,0.067,0.013,0.004,0.998
-0.101,0.618,0.188,-0.04,-0.693,-0.712,0.104,0.113,0.636,0.313,-0.115,-0.716,-0.687,0.049,0.05,2.13,0.206,0.077,0.003,0.0,0.997
-0.102,0.618,0.188,-0.041,-0.693,-0.712,0.106,0.103,0.623,0.221,-0.106,-0.703,-0.702,0.039,0.087,2.13,0.205,0.073,-0.007,-0.011,0.997
-0.102,0.619,0.188,-0.041,-0.693,-0.711,0.106,0.101,0.615,0.135,-0.137,-0.707,-0.692,0.051,0.12,2.129,0.204,0.063,-0.013,-0.029,0.997
-0.102,0.619,0.187,-0.04,-0.695,-0.71,0.104,0.099,0.612,0.129,-0.139,-0.684,-0.714,0.056,0.148,2.129,0.205,0.061,-0.011,-0.048,0.997
-0.1,0.621,0.188,-0.041,-0.691,-0.716,0.096,0.096,0.612,0.129,-0.13,-0.701,-0.699,0.057,0.167,2.127,0.202,0.066,0.0,-0.071,0.995
-0.094,0.625,0.207,-0.054,-0.652,-0.747,0.116,0.096,0.612,0.13,-0.128,-0.704,-0.696,0.056,0.162,2.127,0.206,0.054,-0.007,-0.084,0.995
-0.105,0.642,0.277,-0.044,-0.707,-0.702,0.081,0.097,0.612,0.13,-0.129,-0.703,-0.697,0.057,0.146,2.13,0.217,0.055,-0.009,-0.089,0.994
-0.106,0.645,0.361,-0.003,-0.713,-0.692,0.118,0.096,0.612,0.13,-0.129,-0.702,-0.698,0.057,0.124,2.129,0.234,0.057,-0.014,-0.086,0.995
-0.101,0.644,0.355,-0.032,-0.714,-0.684,0.147,0.096,0.612,0.13,-0.129,-0.703,-0.697,0.057,0.099,2.126,0.246,0.067,-0.017,-0.089,0.994
-0.12,0.632,0.268,-0.049,-0.693,-0.713,0.099,0.096,0.613,0.13,-0.13,-0.702,-0.698,0.056,0.07,2.125,0.247,0.078,-0.013,-0.079,0.994
-0.145,0.624,0.17,0.013,-0.694,-0.717,0.062,0.096,0.613,0.129,-0.129,-0.702,-0.698,0.055,0.039,2.128,0.246,0.077,-0.012,-0.063,0.995
-0.139,0.617,0.101,0.012,-0.678,-0.733,0.052,0.097,0.613,0.129,-0.13,-0.703,-0.698,0.054,0.008,2.131,0.244,0.075,-0.012,-0.044,0.996
-0.14,0.616,0.088,0.022,-0.676,-0.735,0.047,0.097,0.614,0.129,-0.134,-0.701,-0.698,0.054,-0.033,2.132,0.238,0.081,-0.01,-0.027,0.996
-0.14,0.615,0.089,0.021,-0.689,-0.723,0.045,0.096,0.615,0.129,-0.136,-0.7,-0.699,0.056,-0.065,2.132,0.226,0.084,-0.005,-0.002,0.996
-0.139,0.614,0.09,0.021,-0.689,-0.723,0.044,0.096,0.616,0.13,-0.136,-0.696,-0.702,0.06,-0.082,2.134,0.218,0.076,0.0,0.012,0.997
-0.139,0.613,0.09,0.019,-0.69,-0.722,0.045,0.097,0.619,0.147,-0.144,-0.667,-0.726,0.084,-0.091,2.132,0.211,0.065,0.006,0.041,0.997
-0.14,0.614,0.09,0.018,-0.687,-0.725,0.046,0.094,0.631,0.243,-0.141,-0.708,-0.688,0.075,-0.076,2.135,0.218,0.05,0.0,0.046,0.998
-0.139,0.614,0.091,0.019,-0.686,-0.726,0.045,0.089,0.641,0.323,-0.136,-0.731,-0.667,0.043,-0.056,2.133,0.229,0.044,-0.006,0.048,0.998
-0.139,0.613,0.091,0.019,-0.686,-0.726,0.044,0.087,0.64,0.341,-0.133,-0.703,-0.696,0.052,-0.023,2.131,0.244,0.059,-0.013,0.048,0.997
-0.139,0.613,0.091,0.019,-0.686,-0.726,0.047,0.079,0.631,0.291,-0.106,-0.719,-0.686,0.022,0.009,2.129,0.25,0.067,-0.016,0.045,0.997
-0.14,0.614,0.09,0.02,-0.688,-0.724,0.047,0.096,0.62,0.178,-0.121,-0.705,-0.697,0.049,0.047,2.126,0.251,0.072,-0.016,0.031,0.997
-0.14,0.615,0.09,0.021,-0.688,-0.724,0.046,0.098,0.615,0.109,-0.15,-0.688,-0.706,0.069,0.079,2.125,0.246,0.075,-0.016,0.013,0.997
-0.138,0.617,0.09,0.02,-0.687,-0.726,0.039,0.099,0.613,0.105,-0.161,-0.687,-0.703,0.088,0.105,2.13,0.232,0.084,-0.009,-0.005,0.996
-0.132,0.618,0.1,0.019,-0.624,-0.778,0.063,0.099,0.612,0.105,-0.159,-0.696,-0.695,0.082,0.12,2.13,0.214,0.075,0.004,-0.015,0.997
-0.122,0.638,0.171,-0.05,-0.639,-0.764,0.073,0.099,0.613,0.105,-0.158,-0.701,-0.69,0.08,0.118,2.134,0.209,0.072,-0.004,-0.027,0.997
-0.125,0.644,0.27,-0.024,-0.704,-0.708,0.052,0.099,0.613,0.105,-0.157,-0.701,-0.691,0.081,0.112,2.136,0.216,0.056,-0.006,-0.034,0.998
-0.109,0.64,0.339,-0.019,-0.707,-0.698,0.113,0.099,0.612,0.106,-0.156,-0.7,-0.692,0.083,0.098,2.135,0.232,0.041,-0.003,-0.049,0.998
-0.121,0.636,0.283,-0.016,-0.714,-0.698,0.062,0.098,0.612,0.106,-0.156,-0.7,-0.692,0.083,0.076,2.134,0.243,0.039,0.005,-0.063,0.997
-0.125,0.622,0.194,-0.016,-0.682,-0.727,0.076,0.098,0.613,0.106,-0.156,-0.7,-0.692,0.082,0.046,2.136,0.249,0.034,0.014,-0.051,0.998
-0.132,0.615,0.111,-0.006,-0.681,-0.729,0.071,0.098,0.612,0.106,-0.158,-0.701,-0.691,0.082,0.01,2.136,0.245,0.034,0.019,-0.031,0.999
-0.131,0.614,0.095,0.018,-0.692,-0.719,0.059,0.098,0.612,0.106,-0.16,-0.699,-0.692,0.082,-0.024,2.139,0.232,0.038,0.022,-0.02,0.999
-0.132,0.614,0.095,0.01,-0.687,-0.724,0.063,0.099,0.613,0.108,-0.161,-0.69,-0.702,0.076,-0.059,2.134,0.209,0.044,0.011,0.008,0.999
