e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z
,,,-0.726,0.099,0.334,0.592,,,,-0.777,0.33,0.249,0.475,,,,,,
0.012,0.0030000000000000027,-0.009000000000000008,-0.768,0.005,0.178,0.615,0.0010000000000000009,-0.0010000000000000009,0.0,-0.777,0.332,0.248,0.474,0.01200000000000001,-0.005999999999999783,-0.019000000000000017,0.0,-0.0010000000000000009,-0.009000000000000001
0.002999999999999999,0.0010000000000000009,0.0010000000000000009,-0.766,0.02,0.173,0.619,0.0,0.0010000000000000009,0.0,-0.778,0.333,0.247,0.472,0.01899999999999999,-0.0040000000000000036,-0.021999999999999992,0.002,-0.0020000000000000018,-0.0009999999999999992
0.0,0.0010000000000000009,0.0,-0.765,0.015,0.173,0.62,0.0,0.0010000000000000009,-0.0010000000000000009,-0.778,0.334,0.248,0.471,0.019000000000000003,0.0009999999999998899,-0.027999999999999997,0.004,-0.0020000000000000018,-0.003000000000000001
0.0010000000000000009,-0.0010000000000000009,0.0,-0.762,0.014,0.174,0.623,-0.0020000000000000018,0.0010000000000000009,-0.0010000000000000009,-0.782,0.334,0.261,0.457,0.011999999999999997,-0.0129999999999999,-0.02100000000000002,0.009000000000000001,-0.0020000000000000018,-0.005999999999999998
0.0010000000000000009,0.0,-0.0010000000000000009,-0.759,0.008,0.178,0.627,-0.009000000000000008,0.0030000000000000027,-0.0019999999999999983,-0.762,0.375,0.317,0.421,-0.0020000000000000018,-0.0050000000000003375,-0.00799999999999998,-0.0010000000000000009,-0.0020000000000000018,-0.007000000000000003
0.0010000000000000009,0.0010000000000000009,0.0,-0.754,-0.003,0.183,0.631,0.010000000000000009,0.008000000000000007,-0.025,-0.731,0.425,0.311,0.435,-0.015,0.006000000000000227,0.00799999999999998,0.0,0.0010000000000000009,0.0030000000000000027
0.0009999999999999974,0.0,-0.0010000000000000009,-0.753,-0.007,0.183,0.632,0.024999999999999994,-0.007000000000000006,0.056999999999999995,-0.678,0.494,0.418,0.349,-0.023999999999999994,0.0040000000000000036,0.028999999999999998,-0.01,-0.0010000000000000009,0.006999999999999999
-0.0009999999999999974,0.0010000000000000009,0.0,-0.751,-0.01,0.186,0.634,0.028999999999999998,-0.01200000000000001,0.018000000000000002,-0.636,0.476,0.501,0.343,-0.03799999999999999,0.0040000000000000036,0.04500000000000001,-0.008,-0.013000000000000012,0.009999999999999998
-0.0010000000000000009,0.0020000000000000018,0.0010000000000000009,-0.755,-0.007,0.183,0.63,0.0,-0.0030000000000000027,0.0040000000000000036,-0.644,0.459,0.502,0.351,-0.047000000000000014,0.005999999999999783,0.054000000000000006,-0.009000000000000001,-0.03200000000000003,0.005
-0.0010000000000000009,-0.0010000000000000009,0.0,-0.761,-0.002,0.176,0.624,-0.0010000000000000009,0.0010000000000000009,0.0,-0.643,0.461,0.499,0.352,-0.038000000000000006,0.0040000000000000036,0.05399999999999999,0.014,-1.724,-0.003
-0.0010000000000000009,0.0,-0.0010000000000000009,-0.762,-0.003,0.175,0.624,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,-0.644,0.465,0.495,0.352,-0.028999999999999998,-0.0029999999999996696,0.044000000000000004,0.002999999999999999,0.028000000000000025,-0.003
-0.032,0.0050000000000000044,0.016000000000000014,-0.731,-0.004,0.262,0.63,0.0,0.0,0.0010000000000000009,-0.643,0.465,0.496,0.353,-0.021999999999999964,-0.0030000000000001137,0.036,0.008000000000000002,0.039999999999999925,-0.006999999999999999
-0.08600000000000001,0.0,0.064,-0.651,0.19,0.435,0.593,0.0,0.0,0.0,-0.643,0.464,0.496,0.354,-0.01200000000000001,-0.002000000000000224,0.020999999999999998,0.0009999999999999974,0.04200000000000004,0.002
-0.055999999999999994,-0.018000000000000016,0.107,-0.547,0.383,0.591,0.454,0.0,0.0010000000000000009,0.0,-0.641,0.463,0.498,0.356,0.0040000000000000036,-0.0040000000000000036,0.0030000000000000027,-0.0019999999999999983,0.04600000000000004,0.009
0.0030000000000000027,-0.0030000000000000027,-0.0010000000000000009,-0.555,0.348,0.584,0.479,0.0010000000000000009,0.0020000000000000018,0.0,-0.64,0.46,0.502,0.356,0.012999999999999956,-0.0029999999999996696,-0.009000000000000001,0.0010000000000000009,0.039999999999999925,0.008
0.0010000000000000009,-0.0020000000000000018,-0.0010000000000000009,-0.554,0.344,0.587,0.479,0.0,0.0010000000000000009,0.0010000000000000009,-0.64,0.458,0.504,0.356,0.013000000000000012,0.0,-0.011999999999999997,-0.005000000000000001,0.03200000000000003,0.006
0.0,0.0,-0.0010000000000000009,-0.553,0.344,0.587,0.48,0.0,0.0020000000000000018,0.0010000000000000009,-0.642,0.459,0.501,0.357,0.013000000000000012,-0.0040000000000000036,-0.007000000000000003,-0.007000000000000001,0.040000000000000036,0.012
0.0,-0.0010000000000000009,0.0,-0.552,0.343,0.587,0.482,0.0020000000000000018,0.007000000000000006,0.02099999999999999,-0.611,0.493,0.514,0.346,0.010000000000000009,0.0019999999999997797,0.006000000000000002,-0.002999999999999999,0.03699999999999992,0.0019999999999999983
0.0,-0.0010000000000000009,0.0010000000000000009,-0.55,0.339,0.59,0.485,0.028999999999999998,0.01100000000000001,0.09800000000000002,-0.466,0.58,0.635,0.21,0.00799999999999998,0.008000000000000007,0.016,-0.023,0.049000000000000044,-0.004
0.0,-0.0010000000000000009,0.0010000000000000009,-0.548,0.336,0.591,0.487,0.054000000000000006,0.0,0.04299999999999998,-0.414,0.609,0.671,0.081,0.0030000000000000027,0.01100000000000012,0.019000000000000003,-0.036,0.02999999999999997,-0.002999999999999999
0.0,0.0,0.0,-0.547,0.335,0.593,0.487,0.04100000000000001,-0.016000000000000014,-0.014999999999999986,-0.369,0.578,0.718,0.118,0.0,0.0019999999999997797,0.027999999999999997,-0.010000000000000002,0.018000000000000016,0.0010000000000000009
0.0,0.0,0.0010000000000000009,-0.547,0.336,0.591,0.489,0.00399999999999999,-0.0030000000000000027,-0.0040000000000000036,-0.373,0.566,0.728,0.103,-0.004999999999999977,-0.0009999999999998899,0.033,0.0020000000000000018,-0.0030000000000000027,0.0010000000000000009
0.0,0.0020000000000000018,-0.0010000000000000009,-0.55,0.336,0.592,0.485,0.0,0.0,0.0010000000000000009,-0.37,0.57,0.725,0.115,-0.0010000000000000009,-0.0009999999999998899,0.03900000000000001,0.008,0.0050000000000000044,0.0
0.0,0.0,0.0,-0.549,0.334,0.592,0.486,-0.0010000000000000009,-0.0010000000000000009,0.0,-0.369,0.571,0.725,0.114,0.002999999999999975,-0.01200000000000001,0.03999999999999998,0.024999999999999998,0.016000000000000014,0.014000000000000002
