e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z
,,,-0.585,0.306,0.555,0.505,,,,-0.537,0.59,0.495,0.345,,,,,,
-0.0010000000000000009,0.0010000000000000009,0.0,-0.585,0.304,0.556,0.505,-0.002999999999999947,0.0040000000000000036,-0.0010000000000000009,-0.558,0.57,0.49,0.351,-0.010999999999999954,-0.002000000000000224,0.017999999999999995,0.01,0.0040000000000000036,0.0020000000000000018
0.0,0.0,0.0,-0.585,0.303,0.557,0.506,0.07399999999999995,-0.027000000000000024,0.005999999999999978,-0.543,0.553,0.55,0.311,-0.006000000000000005,0.0,0.027000000000000003,0.011,0.0020000000000000018,-0.012999999999999998
0.0,0.0,0.0,-0.585,0.301,0.559,0.505,0.15700000000000003,-0.026000000000000023,-0.01899999999999999,-0.552,0.525,0.588,0.272,0.0040000000000000036,0.0050000000000003375,0.061,0.01,-0.0020000000000000018,-0.023000000000000003
0.0,0.0,0.0,-0.585,0.3,0.559,0.505,0.09399999999999999,-0.009000000000000008,-0.01999999999999999,-0.551,0.51,0.603,0.268,0.012999999999999956,0.0009999999999998899,0.038,0.005000000000000001,-0.0020000000000000018,-0.011
-0.000999999999999994,0.0,0.0010000000000000009,-0.585,0.295,0.56,0.507,0.03200000000000001,-0.0030000000000000027,-0.0040000000000000036,-0.527,0.528,0.618,0.249,0.01100000000000001,-0.007000000000000117,0.047000000000000014,0.013999999999999995,-0.010000000000000009,-0.003
-0.0030000000000000027,0.0010000000000000009,-0.0010000000000000009,-0.601,0.278,0.567,0.49,-0.0010000000000000009,0.0,0.0020000000000000018,-0.539,0.508,0.623,0.251,0.013000000000000012,-0.008999999999999897,0.031,0.032,0.0020000000000000018,0.001
-0.006000000000000005,0.0020000000000000018,-0.0010000000000000009,-0.629,0.244,0.577,0.461,-0.0010000000000000009,0.0010000000000000009,0.0,-0.536,0.514,0.62,0.252,0.015000000000000013,0.0019999999999997797,0.015999999999999986,-0.008999999999999994,-0.0030000000000000027,-0.004
-0.06,0.007000000000000006,0.010000000000000009,-0.631,0.161,0.634,0.418,-0.0020000000000000018,-0.0010000000000000009,0.0,-0.537,0.512,0.622,0.251,0.010000000000000009,0.0050000000000003375,0.006000000000000005,-0.0010000000000000009,-0.010000000000000009,-0.001
-0.097,0.0030000000000000027,0.0059999999999999915,-0.593,0.309,0.527,0.525,0.0010000000000000009,-0.0020000000000000018,0.0,-0.539,0.512,0.621,0.248,0.0020000000000000018,0.006999999999999673,-0.0020000000000000018,-0.011000000000000003,-0.008000000000000007,-0.015000000000000001
-0.014999999999999986,0.0020000000000000018,0.0020000000000000018,-0.604,0.301,0.523,0.521,-0.0010000000000000009,0.0010000000000000009,0.0,-0.539,0.51,0.623,0.247,-0.007000000000000006,0.002000000000000224,-0.018000000000000016,-0.003999999999999997,-0.02300000000000002,-0.002999999999999999
0.0020000000000000018,-0.0020000000000000018,0.0050000000000000044,-0.564,0.344,0.565,0.494,0.0,0.0,0.0,-0.539,0.513,0.621,0.247,-0.015000000000000013,0.0,-0.034999999999999976,0.0,-0.039000000000000035,-0.0010000000000000009
0.012999999999999984,0.01100000000000001,-0.0030000000000000027,-0.502,0.409,0.558,0.519,0.0,0.0,-0.0010000000000000009,-0.538,0.514,0.62,0.248,-0.01200000000000001,0.0,-0.037000000000000005,-0.0020000000000000018,-0.030999999999999917,0.0010000000000000009
0.07,-0.009000000000000008,-0.07100000000000001,-0.635,0.236,0.465,0.57,0.0,0.0,0.0,-0.539,0.514,0.62,0.246,-0.014000000000000012,0.0030000000000001137,-0.07100000000000001,-0.083,1.708,0.046
0.087,-0.010000000000000009,0.014000000000000012,-0.67,0.231,0.439,0.552,-0.0010000000000000009,-0.0010000000000000009,0.0,-0.541,0.513,0.62,0.245,0.0020000000000000018,0.0040000000000000036,-0.059,0.007000000000000003,0.015000000000000013,0.006000000000000002
0.033,0.0010000000000000009,0.012999999999999984,-0.673,0.206,0.447,0.552,0.0,0.0,0.0,-0.544,0.511,0.619,0.244,0.010000000000000009,0.0009999999999998899,-0.05,0.005000000000000001,0.015000000000000013,-0.006000000000000002
0.021000000000000005,0.0010000000000000009,0.006000000000000005,-0.69,0.195,0.419,0.558,0.0010000000000000009,-0.0010000000000000009,-0.0020000000000000018,-0.563,0.499,0.607,0.256,0.026000000000000023,-0.002000000000000224,-0.051000000000000004,-0.006999999999999999,0.01100000000000001,-0.009
-0.0009999999999999992,-0.0020000000000000018,-0.0010000000000000009,-0.687,0.193,0.422,0.559,0.0040000000000000036,-0.0010000000000000009,-0.0040000000000000036,-0.623,0.469,0.563,0.273,0.030999999999999972,0.0,-0.033,0.008,0.0040000000000000036,-0.004999999999999999
0.004,-0.0040000000000000036,0.0010000000000000009,-0.684,0.197,0.419,0.564,0.003999999999999997,0.0030000000000000027,-0.0020000000000000018,-0.717,0.408,0.5,0.264,0.031000000000000028,-0.0019999999999997797,-0.023999999999999994,0.002999999999999999,0.0010000000000000009,0.0009999999999999992
0.002,-0.0010000000000000009,0.0,-0.684,0.197,0.418,0.564,-0.035,0.0020000000000000018,-0.020000000000000004,-0.857,0.324,0.393,0.079,0.024999999999999994,0.0009999999999998899,-0.01999999999999999,0.011,-0.0010000000000000009,0.0
-0.002,0.0020000000000000018,0.0,-0.686,0.197,0.419,0.561,-0.114,0.016000000000000014,-0.088,-0.783,0.385,0.377,0.312,0.012999999999999984,0.010000000000000231,-0.013000000000000012,0.013000000000000001,-0.0010000000000000009,-0.0009999999999999992
-0.0010000000000000009,0.0,0.0,-0.686,0.196,0.419,0.561,-0.122,0.014000000000000012,-0.098,-0.682,0.421,0.343,0.489,-0.0040000000000000036,0.0,-0.01100000000000001,0.015,-0.0010000000000000009,0.008
0.0010000000000000009,0.0,0.0,-0.685,0.196,0.418,0.564,-0.03199999999999997,0.01200000000000001,-0.03499999999999999,-0.717,0.408,0.271,0.496,-0.01899999999999999,-0.006000000000000227,-0.00799999999999998,0.004,0.0020000000000000018,-0.007000000000000001
-0.002,0.0010000000000000009,0.0,-0.687,0.195,0.419,0.561,0.04099999999999998,-0.01100000000000001,0.03699999999999999,-0.726,0.388,0.296,0.484,-0.021999999999999992,-0.004999999999999893,0.0020000000000000018,-0.009000000000000001,0.0020000000000000018,-0.006999999999999999
0.0009999999999999992,-0.0020000000000000018,-0.0010000000000000009,-0.687,0.192,0.421,0.56,0.10599999999999998,-0.02200000000000002,0.066,-0.748,0.361,0.322,0.454,-0.02400000000000002,0.0030000000000001137,0.01899999999999999,-0.019,0.007000000000000006,0.01
0.0010000000000000009,-0.0010000000000000009,0.0010000000000000009,-0.688,0.19,0.422,0.559,0.10000000000000002,-0.010000000000000009,0.062,-0.748,0.357,0.362,0.426,-0.024999999999999967,0.0009999999999998899,0.034,-0.006999999999999999,0.0,0.012
0.002,0.0010000000000000009,0.0010000000000000009,-0.687,0.191,0.421,0.56,0.041999999999999996,-0.0020000000000000018,0.028999999999999998,-0.727,0.377,0.393,0.417,-0.026000000000000023,-0.004999999999999893,0.034,-0.006000000000000002,0.0,0.0019999999999999983
-0.002,0.0010000000000000009,-0.0040000000000000036,-0.704,0.179,0.414,0.548,-0.0040000000000000036,0.0,0.0,-0.732,0.369,0.392,0.418,-0.02799999999999997,-0.015000000000000124,0.03899999999999999,-0.025999999999999995,0.0,-0.004
-0.012,0.0050000000000000044,-0.011999999999999983,-0.762,0.128,0.412,0.483,-0.0010000000000000009,-0.0020000000000000018,-0.0010000000000000009,-0.732,0.373,0.39,0.416,-0.009000000000000008,-0.002000000000000224,0.027999999999999997,-0.021000000000000005,0.0,0.0
