e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
0.024,0.621,-0.154,-0.817,-0.049,0.355,0.452,-0.064,0.613,0.1,-0.716,0.393,0.417,0.4,-0.308,2.198,-0.079,-0.037,0.93,-0.003,-0.364
-0.076,0.633,-0.24,-0.758,0.078,0.3,0.574,-0.063,0.612,0.1,-0.715,0.394,0.417,0.399,-0.3,2.207,-0.075,-0.025,0.932,-0.003,-0.362
-0.12,0.657,-0.341,-0.7,0.065,0.245,0.668,-0.061,0.61,0.1,-0.714,0.397,0.417,0.399,-0.293,2.21,-0.086,-0.012,0.933,0.012,-0.36
-0.126,0.651,-0.354,-0.712,0.094,0.269,0.642,-0.06,0.608,0.1,-0.715,0.398,0.417,0.396,-0.286,2.213,-0.109,-0.003,0.934,0.025,-0.356
-0.073,0.637,-0.303,-0.729,0.072,0.251,0.633,-0.058,0.607,0.1,-0.717,0.4,0.416,0.391,-0.274,2.216,-0.148,0.003,0.939,0.03,-0.341
-0.002,0.622,-0.23,-0.748,0.058,0.233,0.619,-0.056,0.604,0.101,-0.719,0.4,0.414,0.389,-0.258,2.216,-0.18,0.004,0.944,0.028,-0.328
0.057,0.613,-0.168,-0.763,0.066,0.223,0.603,-0.056,0.604,0.1,-0.72,0.399,0.414,0.388,-0.224,2.213,-0.215,-0.003,0.953,0.029,-0.302
0.099,0.608,-0.11,-0.755,0.069,0.257,0.6,-0.06,0.606,0.1,-0.72,0.397,0.419,0.385,-0.155,2.208,-0.248,-0.008,0.965,0.015,-0.263
0.093,0.607,-0.118,-0.771,0.057,0.261,0.578,-0.065,0.61,0.098,-0.736,0.388,0.449,0.326,-0.113,2.211,-0.266,0.002,0.972,-0.001,-0.234
0.091,0.606,-0.12,-0.764,0.056,0.262,0.587,-0.103,0.614,0.074,-0.791,0.336,0.482,0.173,-0.084,2.213,-0.273,0.016,0.978,-0.01,-0.206
0.09,0.606,-0.12,-0.766,0.055,0.263,0.584,-0.165,0.619,-0.034,-0.783,0.354,0.286,0.424,-0.064,2.222,-0.271,0.004,0.983,-0.008,-0.184
0.09,0.605,-0.12,-0.764,0.054,0.264,0.586,-0.159,0.62,-0.053,-0.817,0.263,0.172,0.484,-0.053,2.227,-0.265,0.017,0.987,0.002,-0.16
0.09,0.606,-0.12,-0.766,0.055,0.263,0.584,-0.123,0.616,-0.033,-0.822,0.209,0.094,0.521,-0.049,2.235,-0.259,0.027,0.993,0.018,-0.115
0.09,0.606,-0.121,-0.769,0.054,0.262,0.581,-0.117,0.614,-0.012,-0.818,0.237,0.134,0.507,-0.057,2.232,-0.257,0.009,0.997,0.0,-0.075
0.09,0.608,-0.121,-0.772,0.054,0.26,0.578,-0.119,0.613,-0.01,-0.818,0.238,0.14,0.504,-0.068,2.222,-0.258,-0.001,0.999,-0.03,-0.032
0.09,0.608,-0.121,-0.773,0.055,0.258,0.576,-0.12,0.612,-0.011,-0.816,0.238,0.138,0.508,-0.076,2.213,-0.256,-0.004,0.998,-0.056,0.005
0.091,0.611,-0.121,-0.775,0.057,0.254,0.575,-0.12,0.612,-0.01,-0.814,0.236,0.138,0.512,-0.087,2.205,-0.251,-0.02,0.995,-0.089,0.043
0.093,0.612,-0.123,-0.781,0.057,0.245,0.571,-0.12,0.61,-0.011,-0.815,0.236,0.137,0.511,-0.097,2.196,-0.248,-0.035,0.991,-0.11,0.061
0.107,0.619,-0.138,-0.801,0.025,0.124,0.585,-0.121,0.609,-0.011,-0.815,0.238,0.135,0.511,-0.109,2.181,-0.249,-0.047,0.987,-0.145,0.052
0.144,0.63,-0.17,-0.796,-0.096,0.016,0.598,-0.121,0.608,-0.011,-0.816,0.237,0.134,0.51,-0.112,2.169,-0.26,-0.047,0.981,-0.189,0.021
0.183,0.641,-0.201,-0.758,-0.209,-0.066,0.614,-0.121,0.608,-0.012,-0.815,0.24,0.133,0.509,-0.103,2.161,-0.279,-0.043,0.976,-0.213,-0.016
0.167,0.629,-0.183,-0.785,-0.166,-0.03,0.596,-0.12,0.608,-0.012,-0.815,0.242,0.133,0.509,-0.084,2.155,-0.301,-0.029,0.973,-0.225,-0.042
0.16,0.619,-0.121,-0.798,-0.162,-0.055,0.578,-0.121,0.609,-0.013,-0.815,0.244,0.132,0.509,-0.053,2.146,-0.319,-0.021,0.967,-0.249,-0.051
0.141,0.611,-0.041,-0.807,-0.157,-0.054,0.567,-0.121,0.609,-0.013,-0.816,0.244,0.131,0.508,-0.016,2.138,-0.328,-0.02,0.963,-0.262,-0.061
0.129,0.608,0.005,-0.811,-0.163,-0.054,0.56,-0.121,0.61,-0.013,-0.816,0.245,0.13,0.508,0.022,2.127,-0.328,-0.016,0.957,-0.282,-0.073
0.131,0.606,0.003,-0.809,-0.162,-0.051,0.563,-0.122,0.613,-0.015,-0.827,0.243,0.125,0.492,0.056,2.118,-0.324,-0.016,0.952,-0.297,-0.077
0.131,0.605,0.0,-0.809,-0.164,-0.052,0.562,-0.12,0.617,-0.043,-0.871,0.279,0.072,0.398,0.089,2.116,-0.317,-0.012,0.952,-0.299,-0.065
0.13,0.605,0.0,-0.81,-0.163,-0.053,0.56,-0.106,0.632,-0.145,-0.835,0.205,0.022,0.509,0.107,2.133,-0.313,-0.009,0.964,-0.262,-0.051
0.13,0.604,0.0,-0.811,-0.164,-0.051,0.56,-0.104,0.648,-0.247,-0.786,0.163,-0.015,0.596,0.116,2.156,-0.311,-0.004,0.98,-0.195,-0.034
0.129,0.603,0.0,-0.811,-0.163,-0.049,0.559,-0.11,0.673,-0.338,-0.736,0.171,-0.018,0.655,0.115,2.175,-0.311,0.001,0.99,-0.14,-0.009
0.13,0.603,0.0,-0.813,-0.163,-0.048,0.558,-0.092,0.671,-0.364,-0.74,0.116,-0.069,0.659,0.103,2.186,-0.312,0.003,0.994,-0.107,0.006
0.129,0.604,-0.001,-0.815,-0.163,-0.047,0.555,-0.105,0.65,-0.321,-0.792,0.12,-0.048,0.597,0.08,2.198,-0.308,0.001,0.997,-0.073,0.014
0.128,0.603,-0.002,-0.815,-0.165,-0.047,0.554,-0.092,0.629,-0.226,-0.798,0.128,-0.05,0.587,0.048,2.206,-0.3,-0.002,0.999,-0.052,0.012
0.129,0.605,-0.001,-0.814,-0.164,-0.047,0.555,-0.087,0.618,-0.109,-0.819,0.122,-0.029,0.559,0.012,2.211,-0.284,-0.007,0.999,-0.039,0.01
0.129,0.605,-0.001,-0.814,-0.165,-0.047,0.555,-0.084,0.612,0.005,-0.837,0.134,0.012,0.53,-0.027,2.214,-0.265,-0.013,1.0,-0.021,0.015
0.129,0.607,-0.001,-0.817,-0.162,-0.052,0.551,-0.086,0.615,0.027,-0.86,0.145,0.016,0.49,-0.065,2.215,-0.246,-0.021,1.0,-0.013,0.018
0.134,0.61,-0.015,-0.862,-0.165,-0.063,0.475,-0.085,0.61,0.028,-0.833,0.149,0.021,0.533,-0.093,2.215,-0.232,-0.033,0.999,-0.008,0.011
0.155,0.631,-0.109,-0.834,-0.216,-0.084,0.5,-0.084,0.609,0.027,-0.833,0.148,0.022,0.532,-0.102,2.221,-0.227,-0.026,1.0,-0.009,0.012
0.177,0.648,-0.245,-0.762,-0.205,-0.076,0.61,-0.085,0.609,0.027,-0.833,0.151,0.021,0.532,-0.101,2.224,-0.232,-0.017,1.0,0.012,0.011
0.183,0.66,-0.313,-0.736,-0.186,-0.048,0.65,-0.086,0.61,0.026,-0.833,0.152,0.02,0.532,-0.09,2.223,-0.247,-0.019,0.999,0.024,0.011
0.178,0.64,-0.264,-0.771,-0.188,-0.048,0.607,-0.085,0.61,0.025,-0.835,0.153,0.019,0.529,-0.066,2.224,-0.265,-0.02,0.999,0.032,0.015
0.162,0.621,-0.157,-0.784,-0.163,-0.047,0.597,-0.086,0.609,0.025,-0.836,0.152,0.018,0.526,-0.04,2.223,-0.273,-0.022,0.999,0.024,0.013
