e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z,c_r_w
-0.076,0.606,-0.112,-0.567,0.292,0.623,0.453,-0.02,0.599,0.116,-0.484,0.516,0.657,0.26,-0.313,2.205,0.16,0.009,-0.735,-0.032,0.677
-0.11,0.629,-0.107,-0.568,0.094,0.705,0.414,-0.023,0.599,0.118,-0.487,0.514,0.658,0.257,-0.29,2.204,0.18,0.013,-0.723,-0.033,0.69
-0.243,0.647,-0.091,-0.564,0.241,0.622,0.486,-0.024,0.6,0.118,-0.488,0.512,0.659,0.258,-0.28,2.211,0.178,0.008,-0.728,-0.024,0.685
-0.393,0.67,-0.123,-0.552,0.293,0.512,0.59,-0.024,0.6,0.118,-0.487,0.514,0.657,0.257,-0.281,2.211,0.168,0.0,-0.728,-0.024,0.685
-0.458,0.682,-0.117,-0.503,0.36,0.525,0.584,-0.024,0.599,0.118,-0.488,0.513,0.659,0.254,-0.291,2.21,0.153,-0.011,-0.725,-0.025,0.688
-0.379,0.647,-0.121,-0.545,0.35,0.562,0.515,-0.026,0.599,0.117,-0.491,0.513,0.658,0.249,-0.315,2.213,0.106,-0.012,-0.724,-0.021,0.689
-0.213,0.619,-0.12,-0.539,0.327,0.586,0.509,-0.026,0.599,0.117,-0.493,0.513,0.657,0.248,-0.324,2.217,0.062,-0.014,-0.723,-0.014,0.691
-0.078,0.605,-0.122,-0.536,0.34,0.598,0.489,-0.026,0.598,0.117,-0.494,0.516,0.654,0.246,-0.321,2.22,0.025,-0.028,-0.72,-0.024,0.693
-0.007,0.603,-0.122,-0.541,0.324,0.591,0.504,-0.027,0.598,0.117,-0.495,0.511,0.659,0.243,-0.315,2.22,-0.016,-0.025,-0.716,-0.022,0.697
-0.007,0.605,-0.12,-0.555,0.309,0.599,0.487,-0.021,0.6,0.118,-0.515,0.461,0.696,0.192,-0.3,2.214,-0.06,-0.031,-0.717,-0.005,0.696
-0.01,0.603,-0.121,-0.551,0.308,0.602,0.489,-0.088,0.647,0.123,-0.58,0.398,0.699,0.132,-0.29,2.216,-0.077,-0.036,-0.72,0.014,0.693
-0.01,0.603,-0.12,-0.552,0.305,0.606,0.485,-0.216,0.658,0.148,-0.559,0.494,0.631,0.212,-0.285,2.222,-0.078,-0.036,-0.713,0.011,0.7
-0.01,0.603,-0.12,-0.548,0.305,0.606,0.489,-0.397,0.675,0.189,-0.484,0.593,0.557,0.323,-0.292,2.222,-0.067,-0.05,-0.716,0.002,0.697
-0.01,0.603,-0.12,-0.548,0.305,0.606,0.489,-0.465,0.692,0.193,-0.477,0.608,0.496,0.395,-0.311,2.218,-0.046,-0.047,-0.717,-0.002,0.695
-0.011,0.604,-0.119,-0.548,0.301,0.61,0.487,-0.39,0.659,0.185,-0.528,0.56,0.539,0.342,-0.334,2.213,-0.014,-0.037,-0.718,0.001,0.695
-0.011,0.603,-0.12,-0.549,0.3,0.612,0.485,-0.274,0.627,0.164,-0.542,0.523,0.575,0.319,-0.351,2.209,0.031,-0.027,-0.725,0.0,0.688
-0.011,0.604,-0.119,-0.548,0.303,0.611,0.485,-0.161,0.611,0.144,-0.548,0.503,0.586,0.321,-0.356,2.205,0.074,-0.021,-0.74,-0.006,0.673
-0.011,0.605,-0.119,-0.549,0.303,0.613,0.481,-0.078,0.604,0.133,-0.531,0.499,0.618,0.294,-0.351,2.197,0.107,-0.004,-0.756,-0.005,0.655
-0.011,0.606,-0.119,-0.55,0.303,0.616,0.476,-0.077,0.605,0.137,-0.522,0.495,0.636,0.277,-0.341,2.2,0.123,-0.007,-0.771,-0.008,0.637
-0.015,0.605,-0.119,-0.552,0.294,0.63,0.461,-0.074,0.603,0.142,-0.508,0.508,0.634,0.284,-0.318,2.201,0.123,0.022,-0.78,-0.009,0.625
-0.017,0.604,-0.119,-0.551,0.295,0.63,0.461,-0.075,0.603,0.142,-0.509,0.507,0.635,0.284,-0.299,2.212,0.103,0.009,-0.802,-0.013,0.597
-0.018,0.603,-0.121,-0.556,0.295,0.626,0.461,-0.076,0.603,0.141,-0.511,0.507,0.634,0.282,-0.272,2.222,0.064,0.017,-0.843,-0.004,0.538
-0.02,0.603,-0.126,-0.576,0.279,0.608,0.469,-0.077,0.602,0.138,-0.518,0.507,0.63,0.278,-0.251,2.227,0.027,-0.023,0.878,0.002,-0.478
-0.021,0.603,-0.134,-0.606,0.264,0.572,0.485,-0.077,0.6,0.133,-0.538,0.501,0.613,0.287,-0.228,2.229,-0.021,-0.028,0.921,-0.008,-0.388
-0.019,0.605,-0.143,-0.641,0.24,0.527,0.504,-0.07,0.598,0.114,-0.623,0.455,0.534,0.346,-0.212,2.231,-0.05,-0.03,0.946,-0.012,-0.323
-0.014,0.608,-0.16,-0.697,0.189,0.439,0.535,-0.06,0.595,0.1,-0.694,0.405,0.457,0.382,-0.201,2.231,-0.079,-0.035,0.965,-0.012,-0.258
-0.004,0.61,-0.174,-0.75,0.127,0.336,0.556,-0.054,0.594,0.093,-0.733,0.371,0.41,0.398,-0.193,2.228,-0.107,-0.042,0.979,-0.014,-0.201
0.003,0.61,-0.179,-0.763,0.108,0.294,0.566,-0.048,0.591,0.086,-0.773,0.327,0.355,0.411,-0.183,2.226,-0.137,-0.051,0.988,-0.015,-0.146
0.009,0.613,-0.184,-0.781,0.096,0.255,0.562,-0.042,0.59,0.082,-0.805,0.286,0.296,0.426,-0.168,2.228,-0.163,-0.063,0.993,-0.005,-0.1
0.03,0.616,-0.192,-0.786,0.063,0.208,0.578,-0.039,0.589,0.081,-0.817,0.267,0.272,0.434,-0.147,2.228,-0.19,-0.066,0.996,0.008,-0.061
0.063,0.619,-0.197,-0.789,0.001,0.155,0.595,-0.038,0.589,0.081,-0.818,0.263,0.266,0.436,-0.124,2.227,-0.214,-0.074,0.997,0.012,-0.03
0.077,0.617,-0.179,-0.786,-0.035,0.15,0.599,-0.038,0.589,0.081,-0.821,0.258,0.263,0.435,-0.09,2.228,-0.244,-0.066,0.998,0.014,-0.014
0.096,0.616,-0.152,-0.795,-0.065,0.119,0.591,-0.038,0.589,0.081,-0.823,0.257,0.26,0.436,-0.054,2.228,-0.261,-0.051,0.999,0.014,0.001
0.118,0.609,-0.093,-0.813,-0.055,0.098,0.571,-0.037,0.589,0.081,-0.826,0.251,0.258,0.434,-0.007,2.224,-0.27,-0.032,0.999,0.012,0.006
0.127,0.601,-0.019,-0.813,-0.048,0.118,0.568,-0.035,0.59,0.082,-0.842,0.227,0.223,0.436,0.041,2.21,-0.268,-0.009,1.0,0.009,0.003
0.125,0.598,-0.019,-0.796,-0.065,0.122,0.59,-0.032,0.592,0.08,-0.885,0.177,0.146,0.405,0.065,2.202,-0.262,0.009,1.0,0.024,0.002
0.126,0.599,-0.022,-0.813,-0.057,0.121,0.567,-0.057,0.611,0.026,-0.961,0.148,0.109,0.205,0.084,2.21,-0.264,0.026,0.999,0.023,0.015
0.125,0.599,-0.022,-0.814,-0.055,0.121,0.565,-0.097,0.622,-0.121,-0.891,0.176,0.085,0.41,0.08,2.219,-0.263,0.022,1.0,0.011,0.008
0.126,0.599,-0.022,-0.813,-0.058,0.12,0.566,-0.15,0.648,-0.279,-0.801,0.197,0.088,0.559,0.068,2.221,-0.266,0.029,0.999,0.015,0.004
0.125,0.598,-0.022,-0.815,-0.06,0.12,0.564,-0.18,0.677,-0.387,-0.725,0.189,0.068,0.658,0.047,2.217,-0.277,0.03,0.999,0.016,0.01
0.125,0.6,-0.022,-0.816,-0.058,0.122,0.562,-0.196,0.663,-0.397,-0.746,0.157,0.046,0.645,0.012,2.213,-0.291,0.025,0.999,0.015,0.014
0.125,0.6,-0.022,-0.817,-0.059,0.122,0.561,-0.173,0.638,-0.286,-0.783,0.172,0.053,0.596,-0.031,2.21,-0.302,0.005,1.0,0.011,0.01
0.126,0.6,-0.023,-0.819,-0.056,0.121,0.559,-0.12,0.61,-0.127,-0.809,0.142,0.043,0.568,-0.071,2.206,-0.295,-0.023,1.0,-0.005,0.001
0.126,0.6,-0.022,-0.817,-0.056,0.121,0.56,-0.072,0.601,0.022,-0.83,0.162,0.081,0.527,-0.098,2.203,-0.275,-0.032,0.999,0.007,-0.01
0.127,0.6,-0.022,-0.82,-0.05,0.119,0.557,-0.06,0.6,0.075,-0.806,0.205,0.137,0.538,-0.112,2.201,-0.258,-0.027,1.0,0.011,-0.004
0.133,0.602,-0.027,-0.86,-0.09,0.062,0.498,-0.062,0.599,0.07,-0.826,0.178,0.129,0.519,-0.126,2.201,-0.246,-0.042,0.999,-0.001,-0.009
0.129,0.633,-0.141,-0.87,-0.147,0.012,0.47,-0.062,0.599,0.067,-0.828,0.176,0.13,0.517,-0.119,2.204,-0.236,-0.03,0.999,0.007,-0.007
0.144,0.651,-0.289,-0.78,-0.159,-0.011,0.605,-0.064,0.6,0.067,-0.829,0.177,0.13,0.514,-0.106,2.206,-0.243,-0.018,1.0,0.011,-0.002
0.15,0.666,-0.377,-0.739,-0.143,0.018,0.658,-0.063,0.599,0.067,-0.828,0.18,0.129,0.516,-0.079,2.202,-0.272,-0.005,1.0,0.022,-0.01
0.155,0.641,-0.305,-0.785,-0.133,0.004,0.605,-0.064,0.599,0.066,-0.831,0.181,0.128,0.51,-0.047,2.198,-0.304,0.004,1.0,0.016,-0.003
0.146,0.613,-0.151,-0.799,-0.128,0.016,0.588,-0.064,0.598,0.065,-0.834,0.182,0.13,0.505,-0.005,2.198,-0.334,0.007,1.0,0.019,0.008
0.138,0.601,-0.021,-0.809,-0.113,0.032,0.576,-0.065,0.597,0.065,-0.836,0.186,0.137,0.497,0.032,2.195,-0.34,0.001,1.0,0.015,0.001
0.136,0.602,0.027,-0.798,-0.125,0.035,0.589,-0.064,0.6,0.069,-0.872,0.173,0.135,0.437,0.059,2.192,-0.334,0.0,1.0,0.017,-0.011
0.138,0.602,0.017,-0.816,-0.117,0.032,0.566,-0.086,0.623,0.001,-0.953,0.143,0.119,0.24,0.077,2.192,-0.317,0.016,1.0,0.004,-0.004
