e_t_x,e_t_y,e_t_z,e_r_x,e_r_y,e_r_z,e_r_w,d_t_x,d_t_y,d_t_z,d_r_x,d_r_y,d_r_z,d_r_w,c_t_x,c_t_y,c_t_z,c_r_x,c_r_y,c_r_z
,,,-0.125,0.559,0.788,0.224,,,,-0.089,-0.554,-0.809,0.174,,,,,,
0.0,0.0,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.089,-0.554,-0.809,0.175,0.005,-0.001000000000000334,0.0010000000000000009,0.002,0.004,-0.009000000000000001
0.0,0.0,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.089,-0.554,-0.809,0.175,0.007,-0.0009999999999998899,0.0010000000000000009,0.0009999999999999992,0.005999999999999998,-0.010000000000000002
0.0,0.0,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.089,-0.554,-0.809,0.175,0.003999999999999999,0.0009999999999998899,0.0010000000000000009,-0.002999999999999999,0.0010000000000000009,0.0040000000000000036
0.0010000000000000009,0.0,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.089,-0.554,-0.809,0.175,-0.0009999999999999992,0.001000000000000334,-0.0010000000000000009,-0.004,-0.005000000000000001,0.008
0.0,0.0010000000000000009,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.089,-0.554,-0.809,0.175,-0.003,0.0009999999999998899,0.0,-0.002,-0.008,0.008
0.0,-0.0010000000000000009,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.089,-0.554,-0.809,0.175,-0.003,0.0,0.0,-0.001,-0.004999999999999999,0.006999999999999999
0.0,0.0,0.0,-0.125,0.559,0.788,0.224,0.0,0.0,0.0,-0.09,-0.554,-0.809,0.175,-0.005,-0.0009999999999998899,0.0020000000000000018,0.003,-0.005000000000000001,0.012
0.0,0.0010000000000000009,0.0,-0.125,0.559,0.788,0.225,0.0,0.0,0.0,-0.089,-0.555,-0.809,0.175,-0.008,-0.002000000000000224,0.0040000000000000036,0.003,-0.005999999999999999,0.015
0.0,0.0010000000000000009,0.0,-0.124,0.558,0.788,0.228,0.0,0.0,0.0,-0.089,-0.556,-0.807,0.177,-0.011,0.0009999999999998899,0.00799999999999998,-0.002,-0.002,0.0010000000000000009
0.0010000000000000009,0.0010000000000000009,0.0,-0.116,0.56,0.786,0.234,-0.0010000000000000009,0.0,0.0,-0.088,-0.559,-0.805,0.178,-0.019000000000000003,-0.0029999999999996696,0.017000000000000015,0.0,0.004,0.023
0.0010000000000000009,0.0020000000000000018,0.0,-0.104,0.561,0.784,0.245,0.0010000000000000009,-0.0020000000000000018,0.0010000000000000009,-0.089,-0.556,-0.808,0.176,-0.024,-0.008000000000000007,0.025999999999999995,0.002,0.003999999999999999,0.013000000000000001
0.0,-0.0010000000000000009,-0.0010000000000000009,-0.103,0.567,0.78,0.245,0.0,0.0,0.0010000000000000009,-0.089,-0.542,-0.817,0.175,-0.02099999999999999,-0.013000000000000345,0.02400000000000002,0.003999999999999999,0.005000000000000001,-0.004
-0.0010000000000000009,0.0,-0.0010000000000000009,-0.103,0.569,0.778,0.246,-0.0020000000000000018,0.0050000000000000044,0.013000000000000012,-0.104,-0.491,-0.841,0.201,-0.015000000000000013,-0.008000000000000007,0.033999999999999975,0.004,-0.007,0.009999999999999998
0.0,0.0010000000000000009,0.0,-0.104,0.57,0.777,0.245,-0.036000000000000004,0.01200000000000001,0.06699999999999998,-0.035,-0.573,-0.804,0.151,0.0030000000000000027,-0.0009999999999998899,0.02400000000000002,0.004000000000000002,-0.01,-0.0010000000000000009
0.0,0.0,0.0,-0.102,0.569,0.777,0.249,-0.017999999999999988,0.01100000000000001,0.05199999999999999,-0.031,-0.626,-0.769,0.128,0.022000000000000006,0.0009999999999998899,0.020999999999999963,-0.007000000000000001,-0.007,-0.011
0.0010000000000000009,0.0,0.0010000000000000009,-0.101,0.567,0.779,0.249,-0.010000000000000009,-0.026000000000000023,-0.10699999999999998,-0.018,-0.561,-0.815,0.146,0.038,0.0,0.009000000000000008,0.007999999999999998,-0.007999999999999998,-0.002999999999999999
